id,first_name,last_name,date_of_birth,gender,position,hire_date,salary
1,Ranique,Wrotchford,20-01-2023,F,Head Chef,11-07-2023,15598
2,Gael,Hurd,18-01-2023,F,Floor Manager,13-04-2023,9784
3,Greg,Maysor,01-10-2023,M,Supervisor,28-05-2023,21853
4,Vincent,Hayne,06-06-2023,M,Waiter,16-02-2023,59431
5,Maddi,Hearthfield,17-02-2023,F,Waiter,05-10-2023,41860
6,Ki,Spyby,19-11-2023,F, Front desk manager,23-07-2023,80932
7,Stacie,McKelloch,26-11-2023,F,Assistant Chef,17-08-2023,18938
8,Benedetto,Marishenko,23-07-2023,M, Expeditor,01-01-2023,51406
9,Hendrika,Wittke,11-02-2023,F, Assistant Manager,12-08-2023,79022
10,Gabriele,Andrey,08-05-2023,M, Expeditor,14-10-2023,92358
11,Marga,Sorsbie,27-06-2023,F, Expeditor,15-10-2023,67361
12,Banky,Pillifant,23-06-2023,M,Waiter,04-09-2023,1938
13,Brooke,Troker,07-08-2023,M, Assistant Manager,06-10-2023,46449
14,Ennis,Blaze,03-12-2023,M,Waiter,17-05-2023,98393
15,Mariette,Woodfin,05-10-2023,F,Surveyor,31-08-2023,26001
16,Bess,Tipper,16-06-2023,F,Estimator,25-06-2023,60802
17,Lemar,Figure,08-04-2023,M,Head Chef,17-02-2023,39381
18,Karine,Felton,07-08-2023,F,Waiter,28-11-2023,87515
19,Joli,Radley,11-08-2023,F,Estimator,23-07-2023,26132
20,Bernelle,Eskell,22-08-2023,F,Supervisor,15-04-2023,11231
21,Jarrid,Hardware,10-02-2023,M,Cashier,19-08-2023,17224
22,Irvine,Sima,02-10-2023,M, Assistant Manager,27-08-2023,7606
23,Boony,Legan,17-09-2023,M,Head Chef,18-06-2023,65104
24,Rina,Lothean,17-01-2023,F,Cashier,29-03-2023,8715
25,Kalli,Guillon,31-03-2023,F,Waiter,13-01-2023,67411
26,Gayler,Doby,20-07-2023,M,Head Chef,16-06-2023,99038
27,Gabie,Pauer,30-09-2023,M,Estimator,15-07-2023,43002
28,Isadore,Metzel,23-04-2023,M, Assistant Manager,17-01-2023,59123
29,Wildon,Hitcham,04-11-2023,M,Cashier,19-02-2023,59842
30,Dorey,Lanston,11-02-2023,M, Assistant Manager,02-03-2023,72731
